Cumulative Return,Maximum Drawdown,Sharpe Ratio,Performance Stability,Architecture,Activation Function
0.006175011492588922,0.00876918851835454,0.03406427491112659,0.2878787878787879,simple,relu
-0.02149768888950132,0.029366277675819438,-0.05472848897192321,0.41919191919191917,simple,gelu
-0.00960145161195669,0.010944960253652653,-0.059771645996934394,0.3383838383838384,simple,tanh
0.01524235608754454,0.01783849471268367,0.05134580397734261,0.36363636363636365,simple,leaky_relu
-0.012798807045814486,0.0227674685667258,-0.037525137495907745,0.35353535353535354,medium,relu
-0.008460466623975482,0.0195689620475725,-0.03987470864818705,0.2828282828282828,medium,gelu
-0.02692229100736987,0.03275003515584654,-0.06258009374386495,0.4292929292929293,medium,tanh
0.009860082736301345,0.015053748134477902,0.051512991362905165,0.31313131313131315,medium,leaky_relu
-0.05482923756810909,0.055650486918443015,-0.12890254759472577,0.4292929292929293,complex,relu
0.0028365114553787762,0.018654580632857888,0.009915015988426314,0.35858585858585856,complex,gelu
0.002434784586842209,0.019652941282586472,0.008225758643348678,0.3939393939393939,complex,tanh
-0.018785008604768727,0.037535072770514225,-0.039618534650246666,0.4494949494949495,complex,leaky_relu
